question,keywords,answer
상간자 소송 기간은 얼마나 걸리나요?,"상간자,상간,상간소송,불륜,소송기간","상간자 소송은 보통 1심 기준으로 6개월에서 1년 정도가 소요됩니다. 다만 사건의 복잡성이나 상대방의 대응 여부에 따라 기간이 더 길어질 수 있습니다."
민사소송 변호사 비용이 어느정도 인가요?,"민사소송,변호사비용,변호사비,소송비용,비용","민사소송 변호사 비용은 일반적으로 1심 3,300,000원, 2심 3,300,000원, 3심 3,300,000원이며, 법원 인지대 및 송달료는 약 60,000~70,000원 정도 발생합니다."
사기죄 성립 기준이 무엇인가요?,"사기,사기죄,사기기준,사기성립","사기죄는 사람을 속여 재산상 이익을 취하거나 재산을 교부받았을 때 성립할 수 있습니다. 일반적으로 기망행위, 상대방의 착오, 재산 처분행위, 재산상 손해가 인정되어야 합니다."
음주운전 재판과 판결까지 기간이 궁금합니다.,"음주운전,음주,재판기간,판결기간","음주운전 사건은 일반적으로 기소 후 판결까지 약 3개월에서 6개월 정도 소요되는 경우가 많습니다. 다만 사건의 내용과 법원의 일정에 따라 달라질 수 있습니다."
재판절차가 궁금합니다.,"재판,재판절차,소송절차,형사재판,민사재판","형사사건은 수사 → 기소 → 공판 → 증거조사 → 변론 → 판결 순으로 진행되며, 민사사건은 소장 제출 → 답변서 제출 → 변론 → 증거조사 → 판결 순으로 진행됩니다."
변호사나 법무사 자격증이 없어도 타인의 소송을 도울 수 있나요?,"변호사,법무사,소송대리,자격증","금전적 대가 없이 단순한 정보 제공은 가능하지만 소송의 대리인이 되려면 원칙적으로 변호사 자격이 필요합니다."
알바를 지난 달에 그만뒀는데 아직 지난 달 급여를 받지 못했습니다.,"알바,급여,월급,임금체불,퇴직","사용자는 근로자가 퇴직한 날부터 14일 이내에 임금을 지급해야 합니다. 지급하지 않을 경우 고용노동부에 임금체불 진정을 제기할 수 있습니다."
해고를 당했는데 어떻게 해야 하나요?,"해고,부당해고,노동위원회","부당해고라고 판단되는 경우 해고 통지를 받은 날부터 3개월 이내에 노동위원회에 구제신청을 할 수 있습니다."
최저임금보다 적게 받으면 어떻게 하나요?,"최저임금,임금,급여","최저임금보다 적은 임금을 지급받았다면 최저임금법 위반일 수 있습니다. 사업주와 협의 후 해결되지 않으면 고용노동부에 상담하거나 진정을 제기할 수 있습니다."
주휴수당은 어떻게 해야 받을 수 있나요?,"주휴수당,주휴,수당","주휴수당은 소정근로일을 모두 출근하고 1주 평균 15시간 이상 근무한 근로자가 받을 수 있습니다."
